UMLS code of SE,all proteins
C0037763,ADRA2A ADRA2B ADRA2C CHRM5 DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HTR1A HTR1A@inh HTR1B HTR1D HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR5A HTR6 HTR6@inh HTR7 PTAFR SLC6A4 TBXA2R
C0030232,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@act ADRA2B ADRA2B@act ADRA2C ADRA2C@act ADRB1 DRD1 DRD2 DRD2@act DRD3@act DRD4 DRD4@act DRD5 DRD5@act HTR1A@inh HTR1D@inh HTR2A HTR2B SLC6A2@inh
C0042514,HTR1A HTR1A@act HTR1B HTR1B@act HTR1D HTR1D@act HTR1E HTR1F
C0009806,ADRA1B@inh ADRA2A ADRA2C CHRM3 CYP3A4 DRD1 DRD3 DRD4 DRD5 DRD5@inh HTR1A HTR1B HTR1D HTR1E HTR2A HTR2B HTR2C HTR5A HTR6 HTR7
C0028961,PTGS1 PTGS1@inh PTGS2 PTGS2@inh UGT1A1
C0036572,DRD2 DRD2@inh DRD3@inh DRD4@inh HTR1A HTR1B HTR1D HTR1E HTR2A HTR2A@inh HTR2C HTR6 HTR7 OPRK1 SLC6A4
C0030232,CHRM3 HTR2C HTR2C@inh SLC6A4
C0013384,OPRK1
C0039231,CHRM1 CHRM2 CHRM3 CHRM4 CHRM5
C0009319,CYP2C9 PTGS2 PTGS2@inh
C0085623,CYP2D6 CYP2D6@inh SLC6A3
C0018802,ADRB1 ADRB1@inh ADRB2@inh ADRB3
C0004134,HTR1A HTR1A@act HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR7@inh
C0004134,ADRA1A@inh ADRA2A@inh CHRM5@inh CYP1A2 CYP2B6 CYP2B6@inh CYP2D6 HTR1A@inh SLC6A3 SLC6A4 SLC6A4@inh
C0233565,CHRM1 CYP2D6@inh DRD3 DRD3@inh DRD4 DRD4@inh KCNH2
C0085631,GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB2 GABRB3 GABRD GABRE GABRG1 GABRG2 GABRG3 GABRP
C0020538,PTGS1@inh PTGS2 PTGS2@inh
C0520966,MAOA
C0497156,CYP2C9 PTGS2@inh
C0007166,ADRB1@inh
C0035078,ACE
C0027697,ALOXE3 CYP2C9 IL8 PTGS1 PTGS1@inh PTGS2 PTGS2@act PTGS2@inh TTR UGT1A1 UGT2B7
C0393593,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CHRM1 CHRM2 CHRM3 CHRM4 CHRM5 CYP2D6 CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@act DRD5@inh HRH1 HRH2 HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR2C HTR2C@inh HTR3A HTR5A HTR6 HTR6@inh HTR7 HTR7@inh KCNH2 OPRK1 PTAFR SLC6A4 TBXA2R
C0002871,CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0040822,CYP2D6 CYP2D6@inh OPRK1 SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0085623,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh ADRB1 CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh CYP2D7P1 DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HRH2 HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR3A@inh HTR5A HTR6 HTR6@inh HTR7 HTR7@inh KCNH2 OPRK1 PTAFR SLC6A4 TBXA2R
C0026961,ADRA1A ADRA1A@inh ADRA2A CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh DRD3@inh HTR2A HTR2A@inh HTR2C HTR6 ORM1 ORM2
C0035078,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0151529,CYP2C8 CYP2C9 CYP2C9@inh PTGS1 PTGS1@inh PTGS2 PTGS2@inh TTR UGT1A4 UGT2B7
C0039231,ADRA2A ADRA2B ADRA2C DRD2@inh HTR1A HTR1B HTR1D HTR1E HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR6 HTR7
C0520966,CYP2B6 CYP2B6@inh CYP2D6 SLC6A2 SLC6A2@inh SLC6A3 SLC6A4 SLC6A4@inh
C0027066,ADRA1A@inh ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B@inh ADRA2C@inh CHRM5@inh CYP2D6@inh DRD1@inh DRD2@act DRD5@inh HTR1A@inh HTR1B@inh HTR1D@inh HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR3A@inh HTR6@inh HTR7 HTR7@inh OPRK1 PTAFR SLC6A4
C0424295,ADRA1B@inh ADRA2A ADRA2A@inh HTR1A HTR1A@inh HTR1B HTR1D HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR2B PTAFR
C0520966,ADRA1A@inh ADRA2A@inh CHRM5@inh CYP2D6@inh HTR1A HTR1A@act HTR1A@inh HTR1B HTR1D HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh OPRK1
C0428977,ADRB1 ADRB1@inh ADRB2
C0086439,ADRA1A@inh ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B@inh ADRA2C ADRA2C@inh CYP2B6@inh CYP2D6 CYP2D6@inh CYP3A4 DRD1 DRD1@inh DRD2@act DRD5 DRD5@inh HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR1F HTR2A HTR2B HTR2C HTR2C@inh HTR3A@inh HTR6@inh HTR7 HTR7@inh OPRK1 PTAFR SLC6A4
C0428977,SCN5A SCN5A@inh
C0424295,ADRA1A@inh CHRM1 CYP2D6 CYP2D6@inh DRD1@inh DRD4 DRD5 HTR2C HTR2C@inh HTR6 HTR7 SLC6A4
C0020672,ADRA1B@inh ADRA2A@inh ADRA2B@inh ADRA2C@inh CHRM5@inh CYP2D7P1 DRD1@inh DRD2@inh DRD3@inh DRD4@inh DRD5 DRD5@inh HTR1A@inh HTR1B@inh HTR1D@inh HTR1E HTR2B HTR2C@inh HTR6 HTR6@inh HTR7 HTR7@inh OPRK1 PTAFR
C0020615,ADRA2A CYP2D6@inh CYP3A4 DRD1 DRD1@inh DRD2@act DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HTR1B HTR1D HTR2A HTR2B HTR2C HTR5A HTR6 HTR7 SLC6A4
C0575081,ADRA2A DRD1 DRD2@act DRD4 DRD5 HTR1A HTR1B HTR1D HTR2A HTR2B HTR7
C0428977,ADRA2A ADRA2A@inh ADRA2B ADRA2C HTR1A HTR1F HTR2C HTR3A@inh
C0575090,ADRA2A@inh ADRA2B ADRA2C CYP2D7P1 DRD1 DRD2@act DRD4 DRD5 HTR1D HTR2B HTR2C HTR7
C0026827,ADRA2A ADRA2A@inh HTR1A HTR1A@inh HTR1B HTR1D HTR1D@inh HTR2A HTR2C HTR2C@inh OPRK1 SLC6A4
C0020649,ADRA1B ADRA1B@inh ADRA1D DRD1 DRD2@inh DRD4 DRD5 HTR1A HTR1B TBXA2R
C0494475,CYP3A7 HTR2C SLC6A4
C0428977,KCNH2
C0011175,CYP3A4@inh HTR2C@inh SLC6A4
C0424295,CHRNA7
C0018802,CACNA1C
C0236071,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh CYP1A2 CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HRH2 HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR2A HTR2A@inh HTR2C HTR2C@inh HTR3A HTR3A@inh HTR5A HTR6 HTR6@inh HTR7 HTR7@inh KCNH2 SIGMAR1 SLC6A4
C0236071,ADRA1D CYP2D6 HTR1E HTR1F HTR2B OPRK1 PTAFR TBXA2R
C0019158,CYP2C8 CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@inh UGT1A4
C0393593,HTR1A HTR1A@act HTR1A@inh HTR2B
C0025289,ALOXE3 CYP2C8 CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@act PTGS2@inh TTR UGT2B7
C0022346,CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0267410,ADRB1 ADRB1@inh ADRB2 ADRB2@inh ADRB3
C0037036,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C CYP2D6 CYP2D6@inh CYP3A4 DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@act DRD4@inh DRD5 DRD5@act DRD5@inh HRH1 HTR1A HTR1A@inh HTR1B HTR1B@act HTR1D HTR1D@act HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR5A HTR6 HTR6@inh HTR7 OPRK1 PTAFR SLC6A4 TBXA2R
C0152459,NR3C1 NR3C1@act
C0034068,ACE ACE@inh
C0027424,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 DRD1 DRD1@act DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@act DRD3@inh DRD4 DRD4@act DRD4@inh DRD5 DRD5@act DRD5@inh HRH1 HRH1@inh HRH2 HRH4 HTR1A HTR1B HTR1D HTR2A HTR2A@inh HTR2B HTR2C HTR2C@act HTR2C@inh HTR5A HTR6 HTR7 HTR7@inh SLC6A4
C0013390,ADRA1A@inh ADRA1B@inh CHRM5@inh DRD1@inh HTR1B@inh HTR1D@inh HTR6@inh PTAFR SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0013390,ADRA1B ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CYP2D6 CYP2D6@inh CYP3A4 DRD1 DRD2 DRD2@act DRD5 HTR1A HTR1A@inh HTR1B HTR1D HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR7 HTR7@inh OPRK1
C0242461,ADRB1 ADRB1@inh ADRB2 ADRB2@inh ADRB3
C0007398,ADRB1 ADRB1@inh ADRB2 ADRB2@inh ADRB3
C2584688,ADRA1D@inh CHRM5@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A4 SLC6A4@inh
C0152198,CHRM1 CHRM2 CYP2B6@inh CYP2D6 CYP2D6@inh HTR1A HTR1A@inh HTR2A HTR2C HTR2C@inh HTR3A SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0221185,CA1 CA12 CA14 CA1@inh CA2 CA2@inh CA4 CA4@inh CA5A CA5B CA6 CA7 CA9 SLC12A1 SLC12A1@inh SLC12A3 SLC12A3@inh
C0011253,ADRA1A@inh CHRM2 CHRM4 CHRM5 CYP2B6@inh CYP2C19 SLC6A2 SLC6A2@inh SLC6A3 SLC6A4 SLC6A4@inh
C0007398,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2B ADRA2C CHRM1 CHRM5 CYP2D6 CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH3 HTR1A HTR1A@inh HTR1B HTR1D HTR1E HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR5A HTR6 HTR7 PTAFR SLC6A4
C0376297,PDE5A PDE5A@inh
C0011253,CHRM1 CYP2D6@inh HTR2C HTR2C@act HTR2C@inh
C0011253,ADRA1A ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CHRM1@inh CHRM2@inh CHRM3 CHRM3@inh CHRM4@inh CHRM5@inh CYP2D6 CYP3A4 DRD1 DRD1@act DRD2 DRD2@act DRD3 DRD3@act DRD3@inh DRD4 DRD4@act DRD5 DRD5@act HRH1 HRH1@inh HTR1A HTR1A@act HTR1A@inh HTR1B HTR1D HTR1D@inh HTR2A HTR2A@act HTR2A@inh HTR2B HTR6 HTR7 HTR7@inh OPRK1 PTAFR
C0175167,NR3C1 NR3C1@act
C0026205,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2B ADRA2C CALM1 CHRM2 CHRM3 DRD3@inh DRD4 DRD4@inh DRD5@inh HTR2A HTR2C HTR7
C0035410,AGTR1 AGTR1@inh CYP2C9@inh SLC15A1 SLC15A1@inh
C0020514,CHRM2 CHRM3 CYP2D6@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 HRH1 HTR2A HTR2C HTR6 HTR7
C0020456,CYP2C9 PTGS1
C0023380,ADRA2A ADRA2B ADRA2C DRD1 DRD1@inh DRD2@act DRD3@inh DRD4 DRD4@inh HTR1A HTR1B HTR1D HTR1D@inh HTR2A HTR2B HTR2C HTR6 HTR7 SLC6A4
C0006384,CHRM1 CYP2D6 CYP2D6@inh DRD1 DRD5 HTR1D HTR2A HTR2B HTR2C HTR7 PTAFR SLC6A4
C0314719,ADRA1A@inh ADRA2A CHRM1 CYP2D6 CYP2D6@inh HTR2B HTR2C HTR2C@inh SLC6A4 SLC6A4@inh
C0032708,ABCC8 CYP2C9
C0037763,OPRK1 SIGMAR1
C0162835,NR3C1 NR3C1@act
C0042420,ADRA2A ADRA2A@act ADRA2B ADRA2C DRD1 DRD1@act DRD2 DRD2@act DRD3@act DRD4@act DRD5 DRD5@act HTR1A HTR1A@act HTR2A HTR2B HTR2C
C0010520,DRD2@act HTR1B HTR1D HTR1E HTR2B HTR7
C0870082,HTR2A HTR2B HTR2C HTR7 SLC6A4
C0035455,AGTR1@inh CYP2C9
C0037672,ADRA2A DRD1 DRD2@act DRD3 DRD3@act DRD4 DRD4@act DRD5 DRD5@act HTR1B HTR1D HTR2B HTR2C HTR7
C0233565,CYP2D6 SLC6A2@inh
C0030232,CYP2D6 SLC6A2 SLC6A3 SLC6A4@inh
C0011603,CYP1A2 CYP2D6@inh DRD5@inh
C0013604,ADRA1B@inh CYP3A4 HTR2B
C0243026,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0020456,CYP3A4@inh DRD5@inh HTR1E PTAFR
C0004245,HTR3A HTR3A@inh
C0151636,ADRA2A@inh HRH2 HTR2A
C1883552,AGTR1@inh
C0151636,HTR3A@inh
C0497156,SLC6A4
C0020621,ADRA2B@inh
C0040053,ADRB1@inh
C0040822,MAOA
C0002871,PPARG@act
