UMLS code of SE,all proteins
C0700075,ADRA1A ADRA2A ADRA2B ADRA2C CALM1 CALML3 CALN1 CHRM1 CHRM3 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH2 HRH4 HTR1A HTR1E HTR2A HTR2A@inh HTR2C HTR5A HTR6 HTR7
C0034734,ADRB1 ADRB1@inh ADRB2 ADRB2@inh ADRB3 HTR1A HTR1B HTR1D HTR2C
C0027726,ALB ALOXE3 CYP2C8 IL8 PTGS1 PTGS1@inh PTGS2 PTGS2@inh TTR
C0233477,OGFR OPRD1 OPRD1@act OPRK1 OPRK1@act OPRL1 OPRM1 OPRM1@act SIGMAR1
C0010073,HTR1A HTR1A@act HTR1B HTR1B@act HTR1D HTR1D@act HTR1E HTR1F MAOA
C1384666,PTGS1 PTGS1@inh PTGS2 PTGS2@act PTGS2@inh TTR UGT2B7
C0004245,ADRA1B@inh ADRA2A@inh ADRA2B@inh CYP2D6 CYP2D6@inh CYP2D7P1 CYP3A5 CYP3A5@inh HTR1A HTR1A@inh HTR1B HTR1D HTR2A HTR2B HTR2C HTR2C@inh
C0085616,HTR1A HTR1A@act HTR1B HTR1B@act HTR1D HTR1D@act HTR1E HTR1F
C0042384,ALOX5 CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@act PTGS2@inh TTR UGT2B7
C0600097,OGFR OPRD1 OPRD1@act OPRK1 OPRL1 OPRM1 OPRM1@act PTAFR SIGMAR1
C0600097,ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CHRM1 CHRM2 CHRM3 CHRM5 CYP2D6 CYP2D6@inh CYP2D7P1 DRD1 DRD2 DRD3 DRD4 DRD5 HTR1A HTR1B HTR1D HTR1E HTR1F HTR2A HTR2B HTR2C HTR2C@inh HTR3A HTR4 HTR5A HTR6 HTR7 SLC6A4 SLC6A4@inh
C0235063,OGFR OPRD1 OPRD1@act OPRK1 OPRK1@act OPRL1 OPRM1 OPRM1@act SIGMAR1
C0151818,ADRA1A ADRA1A@inh ADRA2A ADRA2B ADRA2C CALM1 CYP1A2 CYP2D6 CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HTR1A HTR1B HTR1E HTR2A HTR2A@inh HTR2C HTR3A HTR5A HTR6 HTR6@inh HTR7 KCNH2 KCNH2@inh PTAFR
C0026961,CYP2B6 CYP2B6@inh CYP2D6@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0017181,CYP2C9 IL8 PTGS1 PTGS1@inh PTGS2 PTGS2@act PTGS2@inh UGT2B7
C0043094,ADRA1A ADRA1A@inh ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B ADRA2C CYP2D6 CYP3A4 DRD1 DRD2 DRD3 DRD4 DRD5 HTR1A HTR1A@act HTR1A@inh HTR1B HTR1D HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR6 HTR7 SLC6A4
C0001824,CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@inh UGT2B7
C1510472,CYP2D6 OGFR OPRD1 OPRD1@act OPRK1 OPRK1@act OPRL1 OPRM1 OPRM1@act
